audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Confidence accuracy,Passionate accuracy,Pleasant accuracy,Dominant accuracy,Credible accuracy,Vivid accuracy,Expertise accuracy,Entertaining accuracy,Reserved accuracy,Trusting accuracy,Relaxed accuracy,Outgoing accuracy,Thorough accuracy,Nervous accuracy,Persuasive accuracy,Humorous accuracy,Confidence MAE,Passionate MAE,Pleasant MAE,Dominant MAE,Credible MAE,Vivid MAE,Expertise MAE,Entertaining MAE,Reserved MAE,Trusting MAE,Relaxed MAE,Outgoing MAE,Thorough MAE,Nervous MAE,Persuasive MAE,Humorous MAE,Confidence corr,Passionate corr,Pleasant corr,Dominant corr,Credible corr,Vivid corr,Expertise corr,Entertaining corr,Reserved corr,Trusting corr,Relaxed corr,Outgoing corr,Thorough corr,Nervous corr,Persuasive corr,Humorous corr
8,16,128,0.2,0.2,0.3,0.001,0.003,4,64,0.002,0.85264404296875,0.246,0.296,0.305,0.34,0.256,0.325,0.236,0.3,0.33,0.502,0.438,0.384,0.369,0.374,0.212,0.355,1.011,1.088,0.896,0.888,1.065,1.028,1.037,0.954,0.866,0.548,0.61,0.707,0.762,0.742,1.133,0.751,0.281,0.29,0.149,0.199,0.13,0.12,0.124,0.283,0.241,-0.053,0.181,0.202,0.111,-0.163,0.148,0.242
8,4,128,0,0,0,0.003,0.001,16,32,0.01,0.8740908813476562,0.236,0.266,0.315,0.335,0.246,0.271,0.286,0.3,0.315,0.517,0.488,0.389,0.429,0.384,0.232,0.355,1.021,1.102,0.895,0.892,1.043,1.047,1.042,0.966,0.925,0.586,0.612,0.735,0.753,0.732,1.108,0.732,0.237,0.235,0.178,0.23,0.191,0.213,0.189,0.306,-0.023,-0.062,0.227,0.131,0.177,-0.029,0.186,0.238
16,16,128,0.15,0.2,0.5,0.0005,0.0005,8,128,0.01,0.8974211883544921,0.222,0.296,0.325,0.35,0.271,0.3,0.291,0.296,0.31,0.414,0.448,0.369,0.365,0.438,0.217,0.394,1.032,1.116,0.881,0.894,1.108,1.053,1.045,0.966,0.89,0.563,0.598,0.709,0.765,0.701,1.139,0.749,0.237,0.216,0.16,0.231,0.13,0.159,0.153,0.253,0.182,-0.028,0.1,0.187,0.105,0.174,0.16,0.174
16,4,256,0.1,0,0.15,0.001,0.001,8,32,0.002,0.8632975769042969,0.227,0.315,0.325,0.345,0.256,0.256,0.261,0.315,0.32,0.517,0.488,0.424,0.365,0.458,0.276,0.374,1.01,1.08,0.89,0.873,1.069,1.046,1.06,0.94,0.889,0.555,0.589,0.703,0.738,0.68,1.116,0.742,0.289,0.294,0.082,0.265,0.126,0.149,0.142,0.297,0.185,-0.043,0.083,0.198,0.115,0.236,0.179,0.273
4,8,128,0.15,0.1,0.1,0.0005,0.0005,4,64,0.01,0.8585562133789062,0.236,0.197,0.335,0.34,0.256,0.3,0.276,0.296,0.315,0.374,0.498,0.389,0.35,0.389,0.256,0.355,1.028,1.124,0.866,0.89,1.055,1.037,1.055,0.966,0.898,0.6,0.596,0.705,0.747,0.728,1.118,0.738,0.256,0.225,0.235,0.204,0.16,0.194,0.118,0.263,0.024,-0.025,0.122,0.127,0.128,-0.037,0.185,0.27
16,16,128,0.5,0.15,0.5,0.0005,0.0003,8,64,0.01,0.8506020355224609,0.256,0.31,0.34,0.33,0.256,0.305,0.251,0.3,0.32,0.389,0.493,0.374,0.345,0.414,0.236,0.384,1.036,1.09,0.87,0.882,1.066,1.056,1.033,0.982,0.907,0.563,0.598,0.735,0.756,0.719,1.135,0.759,0.225,0.274,0.163,0.207,0.126,0.128,0.16,0.206,0.061,-0.002,0.075,0.176,0.092,0.005,0.163,0.183
16,16,128,0,0.1,0.2,0.001,0.0005,1,32,0.001,0.8652360534667969,0.281,0.266,0.31,0.325,0.261,0.32,0.305,0.34,0.32,0.458,0.473,0.414,0.35,0.438,0.212,0.384,0.985,1.068,0.857,0.88,1.063,0.992,1.013,0.913,0.852,0.562,0.588,0.688,0.748,0.682,1.092,0.734,0.353,0.301,0.262,0.284,0.198,0.264,0.248,0.361,0.292,-0.063,0.179,0.322,0.182,0.232,0.24,0.305
4,16,128,0.2,0.15,0.5,0.003,0.001,16,8,0.002,0.8575679016113281,0.261,0.222,0.305,0.345,0.261,0.32,0.227,0.35,0.315,0.547,0.478,0.409,0.389,0.409,0.261,0.399,0.963,1.059,0.915,0.857,1.046,1.05,1.042,0.921,0.862,0.557,0.595,0.678,0.742,0.692,1.069,0.747,0.361,0.346,-0.019,0.334,0.189,0.205,0.239,0.339,0.273,-0.02,0.113,0.284,0.199,0.217,0.226,0.307
16,8,256,0.2,0.5,0.3,0.003,0.003,1,16,0.002,0.8470543670654297,0.286,0.266,0.291,0.34,0.261,0.286,0.305,0.369,0.34,0.433,0.463,0.409,0.345,0.438,0.251,0.355,0.983,1.077,0.895,0.88,1.04,1.025,1.056,0.943,0.85,0.554,0.595,0.675,0.736,0.676,1.122,0.756,0.333,0.341,0.159,0.283,0.228,0.214,0.207,0.325,0.36,0.025,0.1,0.339,0.203,0.278,0.224,0.286
16,4,128,0.3,0.1,0.2,0.003,0.003,1,4,0,0.858369140625,0.236,0.227,0.266,0.33,0.276,0.305,0.256,0.3,0.31,0.542,0.493,0.384,0.404,0.424,0.241,0.384,1.046,1.109,0.926,0.911,1.073,1.038,1.052,0.952,0.917,0.565,0.655,0.758,0.792,0.695,1.112,0.747,0.195,0.242,0.086,0.18,0.145,0.131,0.165,0.266,0.184,-0.035,0.189,0.162,0.124,0.164,0.175,0.255
8,8,64,0.2,0,0,0.003,0.0005,16,128,0.001,0.8495740509033203,0.286,0.246,0.335,0.345,0.227,0.32,0.251,0.296,0.335,0.527,0.507,0.384,0.389,0.414,0.251,0.35,1.021,1.102,0.885,0.894,1.053,1.037,1.05,0.969,0.889,0.551,0.587,0.714,0.75,0.706,1.075,0.745,0.22,0.239,0.085,0.154,0.159,0.126,0.114,0.23,0.122,0.059,0.187,0.059,0.121,0.086,0.191,0.158
16,4,128,0.2,0.1,0.15,0.001,0.0003,8,8,0,0.8789787292480469,0.241,0.31,0.315,0.33,0.256,0.276,0.251,0.31,0.325,0.517,0.498,0.384,0.335,0.453,0.177,0.365,1.037,1.118,0.901,0.935,1.122,1.102,1.093,0.988,0.912,0.549,0.615,0.736,0.78,0.698,1.208,0.759,0.259,0.255,0.087,0.174,0.111,0.079,0.106,0.238,0.152,-0.008,0.103,0.172,0.086,0.139,0.138,0.221
8,16,256,0.2,0.1,0.3,0.003,0.001,16,4,0,0.8677631378173828,0.261,0.256,0.276,0.35,0.271,0.31,0.232,0.3,0.315,0.532,0.498,0.374,0.291,0.424,0.271,0.384,1.023,1.108,0.923,0.906,1.049,1.02,1.041,0.967,0.942,0.576,0.583,0.711,0.798,0.695,1.097,0.76,0.216,0.212,0.086,0.221,0.079,0.145,0.095,0.258,0.22,0.114,0.014,0.182,0.057,0.207,0.135,0.267
4,8,256,0.2,0.5,0.3,0.0003,0.0003,4,16,0.001,0.8479764556884766,0.251,0.286,0.34,0.34,0.256,0.291,0.256,0.305,0.34,0.542,0.498,0.379,0.36,0.419,0.232,0.369,1.003,1.089,0.884,0.888,1.088,1.021,1.061,0.985,0.888,0.534,0.598,0.699,0.744,0.683,1.121,0.756,0.262,0.249,-0.021,0.246,0.078,0.12,0.105,0.219,0.246,0.003,0.084,0.196,0.095,0.23,0.121,0.23
4,16,256,0.5,0.15,0,0.0003,0.003,4,8,0,0.86870361328125,0.227,0.261,0.345,0.33,0.251,0.305,0.281,0.291,0.315,0.527,0.502,0.404,0.374,0.429,0.236,0.394,1.021,1.069,0.899,0.872,1.061,0.995,1.048,0.943,0.886,0.585,0.616,0.692,0.737,0.696,1.096,0.738,0.273,0.317,0.06,0.257,0.167,0.246,0.197,0.314,0.291,-0.058,0.151,0.239,0.169,0.224,0.22,0.306
8,8,64,0.5,0.15,0,0.0003,0.001,1,16,0.001,0.8400788116455078,0.236,0.315,0.261,0.345,0.266,0.325,0.32,0.3,0.276,0.409,0.433,0.34,0.379,0.36,0.256,0.335,0.981,0.982,0.966,0.858,0.999,0.987,0.934,0.916,0.949,0.665,0.663,0.753,0.775,0.774,1.058,0.756,0.42,0.412,0.134,0.323,0.311,0.333,0.408,0.349,-0.001,-0.046,0.122,0.239,0.276,-0.113,0.289,0.244
16,16,256,0.1,0.5,0.5,0.003,0.001,8,128,0.002,0.8505230712890625,0.232,0.261,0.325,0.34,0.256,0.32,0.256,0.3,0.34,0.502,0.507,0.399,0.355,0.433,0.261,0.36,1.025,1.089,0.895,0.894,1.097,1.034,1.069,0.975,0.866,0.561,0.584,0.703,0.758,0.687,1.119,0.746,0.249,0.253,0.046,0.193,0.104,0.123,0.109,0.244,0.244,-0.034,0.106,0.168,0.047,0.168,0.123,0.257
8,16,64,0.15,0.5,0.2,0.0003,0.0005,8,128,0.002,0.9021827697753906,0.241,0.251,0.3,0.31,0.241,0.286,0.246,0.291,0.291,0.355,0.419,0.374,0.35,0.419,0.241,0.36,1.036,1.106,0.931,0.91,1.105,1.059,1.113,1.001,0.934,0.605,0.645,0.751,0.749,0.754,1.149,0.759,0.215,0.209,0.049,0.132,0.034,0.048,-0.011,0.177,-0.108,-0.005,0.054,0.108,0.068,-0.038,0.102,0.153
4,16,64,0.3,0.5,0.3,0.0005,0.0005,16,8,0.002,0.8402691650390625,0.291,0.325,0.266,0.345,0.266,0.35,0.32,0.291,0.31,0.399,0.404,0.315,0.438,0.384,0.251,0.384,0.986,1.041,0.958,0.869,0.989,0.954,0.927,0.934,0.951,0.654,0.649,0.774,0.714,0.752,1.059,0.761,0.369,0.371,0.076,0.328,0.336,0.372,0.421,0.335,-0.047,-0.025,0.142,0.183,0.331,-0.017,0.282,0.247
4,8,64,0,0.15,0.2,0.003,0.0003,16,64,0.01,0.8461940002441406,0.241,0.305,0.281,0.34,0.241,0.32,0.32,0.305,0.281,0.493,0.468,0.379,0.409,0.414,0.256,0.365,0.995,1.04,0.916,0.873,1.0,0.978,0.974,0.933,0.924,0.59,0.607,0.733,0.695,0.716,1.065,0.756,0.332,0.369,0.049,0.229,0.284,0.32,0.311,0.307,0.045,0.017,0.105,0.164,0.309,0.086,0.259,0.225
8,16,256,0.5,0.2,0,0.001,0.003,4,32,0.001,0.8464348602294922,0.241,0.271,0.34,0.34,0.256,0.3,0.286,0.291,0.315,0.522,0.502,0.394,0.404,0.419,0.217,0.414,0.999,1.081,0.876,0.891,1.049,1.007,1.022,0.954,0.863,0.532,0.595,0.694,0.739,0.698,1.132,0.744,0.304,0.285,0.176,0.276,0.171,0.191,0.189,0.295,0.288,0.025,0.109,0.247,0.158,0.275,0.2,0.29
8,16,256,0,0.15,0.1,0.001,0.0003,4,32,0.002,0.8588746643066406,0.261,0.286,0.315,0.35,0.271,0.305,0.271,0.32,0.33,0.527,0.473,0.345,0.419,0.394,0.236,0.36,0.995,1.071,0.888,0.876,1.042,1.022,1.039,0.95,0.865,0.538,0.587,0.736,0.757,0.697,1.116,0.735,0.322,0.282,0.1,0.272,0.222,0.227,0.208,0.296,0.269,0.114,0.159,0.172,0.12,0.227,0.191,0.318
4,4,64,0.15,0.15,0.2,0.003,0.003,16,8,0.01,0.8608649444580078,0.261,0.251,0.3,0.325,0.251,0.305,0.246,0.296,0.31,0.527,0.502,0.384,0.404,0.34,0.266,0.384,1.017,1.129,0.908,0.922,1.085,1.028,1.039,0.985,0.915,0.55,0.759,0.716,0.768,0.733,1.089,0.753,0.255,0.217,-0.004,0.199,0.099,0.161,0.143,0.229,0.145,-0.048,0.107,0.181,0.125,0.086,0.162,0.233
16,8,64,0.2,0.5,0.1,0.003,0.003,16,4,0.001,0.8482881164550782,0.276,0.271,0.3,0.384,0.251,0.291,0.246,0.3,0.34,0.542,0.458,0.394,0.335,0.453,0.212,0.335,1.009,1.099,0.926,0.87,1.078,1.039,1.045,1.017,0.864,0.537,0.603,0.699,0.753,0.681,1.175,0.751,0.287,0.253,-0.049,0.314,0.141,0.143,0.166,0.271,0.277,0.033,0.065,0.243,0.19,0.232,0.165,0.275
16,4,64,0.3,0.2,0.15,0.0005,0.0003,1,32,0.01,0.8343024444580078,0.241,0.3,0.305,0.345,0.232,0.345,0.31,0.31,0.286,0.369,0.424,0.36,0.379,0.438,0.241,0.365,1.0,1.058,0.919,0.869,1.03,0.946,0.97,0.941,0.961,0.667,0.663,0.77,0.722,0.743,1.095,0.776,0.362,0.342,0.116,0.283,0.275,0.358,0.357,0.316,-0.057,0.0,0.124,0.18,0.318,-0.027,0.238,0.21
8,4,256,0,0,0,0.003,0.003,4,8,0.001,0.8699365997314453,0.241,0.227,0.33,0.34,0.212,0.276,0.276,0.32,0.325,0.527,0.498,0.424,0.369,0.429,0.227,0.404,1.015,1.093,0.893,0.888,1.073,1.054,1.023,0.959,0.887,0.613,0.604,0.694,0.762,0.711,1.14,0.743,0.283,0.293,0.149,0.253,0.195,0.239,0.218,0.262,0.119,0.045,0.097,0.208,0.18,0.163,0.184,0.22
8,4,64,0.2,0.1,0.3,0.001,0.0005,1,8,0.001,0.8461174011230469,0.266,0.335,0.266,0.36,0.227,0.31,0.305,0.315,0.296,0.429,0.453,0.399,0.394,0.404,0.256,0.379,0.957,1.005,0.926,0.869,1.029,0.986,0.994,0.927,0.933,0.613,0.615,0.727,0.716,0.732,1.067,0.746,0.382,0.4,0.052,0.318,0.254,0.306,0.303,0.361,0.072,0.043,0.118,0.202,0.269,0.105,0.229,0.3
8,8,128,0.3,0,0,0.003,0.001,4,4,0.001,0.9065406036376953,0.236,0.197,0.33,0.32,0.281,0.335,0.271,0.281,0.33,0.562,0.389,0.404,0.424,0.404,0.232,0.35,1.043,1.175,0.921,0.939,1.061,1.08,1.06,0.983,0.877,0.529,0.82,0.681,0.78,0.696,1.156,0.78,0.237,0.229,-0.025,0.228,0.165,0.097,0.092,0.251,0.234,0.063,0.12,0.275,0.13,0.206,0.136,0.148
16,4,64,0,0.5,0.3,0.0003,0.0003,1,4,0,0.8306882476806641,0.251,0.32,0.261,0.36,0.276,0.355,0.296,0.315,0.315,0.433,0.473,0.36,0.384,0.399,0.236,0.32,0.977,1.023,0.907,0.888,1.056,1.023,0.996,0.947,0.95,0.633,0.632,0.748,0.762,0.76,1.123,0.764,0.357,0.377,0.157,0.249,0.238,0.247,0.313,0.319,-0.055,-0.038,0.074,0.193,0.247,-0.076,0.194,0.229
8,4,128,0.2,0.3,0.1,0.001,0.001,4,16,0.002,0.8585561370849609,0.246,0.276,0.286,0.355,0.286,0.325,0.266,0.365,0.305,0.512,0.483,0.414,0.355,0.438,0.236,0.409,0.994,1.08,0.915,0.859,1.041,1.001,1.023,0.904,0.866,0.555,0.597,0.678,0.735,0.687,1.114,0.762,0.342,0.306,0.01,0.331,0.216,0.221,0.247,0.354,0.276,0.017,0.101,0.301,0.227,0.256,0.184,0.304
16,4,128,0.1,0.1,0.1,0.001,0.0005,8,32,0.002,0.8557810974121094,0.232,0.246,0.32,0.36,0.271,0.3,0.276,0.325,0.33,0.498,0.473,0.374,0.365,0.438,0.232,0.374,0.997,1.079,0.887,0.886,1.039,1.031,1.024,0.947,0.867,0.554,0.574,0.715,0.743,0.69,1.083,0.741,0.316,0.307,0.141,0.213,0.199,0.177,0.217,0.287,0.215,0.003,0.241,0.189,0.176,0.197,0.234,0.252
16,16,64,0,0.3,0.5,0.0005,0.0005,16,4,0,0.8788599395751953,0.251,0.305,0.256,0.32,0.251,0.305,0.325,0.291,0.291,0.399,0.478,0.355,0.394,0.448,0.202,0.438,1.016,1.031,0.922,0.877,1.047,1.027,0.983,0.933,0.921,0.614,0.64,0.739,0.756,0.716,1.154,0.763,0.38,0.402,0.207,0.35,0.322,0.316,0.382,0.382,0.113,0.041,0.165,0.264,0.278,0.129,0.262,0.287
4,4,128,0,0.1,0.5,0.003,0.0003,4,8,0.002,0.8587691497802734,0.246,0.197,0.32,0.325,0.271,0.31,0.236,0.305,0.296,0.448,0.448,0.389,0.448,0.419,0.251,0.419,1.033,1.13,0.896,0.908,1.025,0.978,1.009,0.963,0.92,0.559,0.597,0.735,0.709,0.717,1.054,0.75,0.295,0.295,0.079,0.229,0.244,0.321,0.251,0.307,-0.018,0.027,0.141,0.157,0.27,0.051,0.269,0.282
8,8,64,0.15,0.3,0.5,0.0003,0.003,1,32,0.001,0.8561674499511719,0.261,0.276,0.266,0.35,0.251,0.286,0.286,0.31,0.325,0.419,0.414,0.394,0.374,0.424,0.241,0.36,0.996,1.078,0.917,0.862,1.073,1.013,1.02,0.938,0.926,0.59,0.607,0.709,0.744,0.74,1.091,0.747,0.313,0.294,0.104,0.27,0.144,0.191,0.188,0.302,-0.053,0.02,0.166,0.244,0.18,-0.116,0.198,0.195
4,8,256,0.2,0,0.5,0.0003,0.003,1,128,0,0.8800253295898437,0.286,0.182,0.325,0.325,0.246,0.286,0.276,0.3,0.345,0.419,0.488,0.389,0.379,0.36,0.261,0.409,1.041,1.116,0.905,0.881,1.049,1.063,1.05,0.971,0.92,0.611,0.606,0.704,0.761,0.755,1.062,0.739,0.283,0.276,0.171,0.224,0.135,0.117,0.083,0.207,0.002,-0.001,0.102,0.177,-0.039,-0.236,0.218,0.279
16,4,256,0.2,0.1,0,0.003,0.0003,16,16,0,0.8360045623779296,0.271,0.266,0.266,0.335,0.281,0.374,0.34,0.3,0.33,0.443,0.389,0.379,0.458,0.424,0.246,0.365,0.969,1.034,0.989,0.867,1.056,0.959,0.958,0.929,0.874,0.603,0.628,0.72,0.724,0.684,1.091,0.745,0.383,0.393,-0.008,0.354,0.3,0.35,0.398,0.36,0.231,0.016,0.148,0.254,0.334,0.268,0.299,0.324
4,4,256,0,0.1,0.3,0.0003,0.0003,4,128,0.01,0.86598876953125,0.266,0.236,0.345,0.335,0.246,0.31,0.271,0.296,0.3,0.438,0.453,0.399,0.429,0.414,0.271,0.355,1.013,1.137,0.88,0.894,1.058,1.017,1.031,0.98,0.91,0.597,0.614,0.703,0.73,0.719,1.076,0.757,0.207,0.183,0.117,0.123,-0.014,0.145,0.137,0.077,-0.094,-0.035,-0.047,0.135,0.042,-0.017,0.183,-0.131
16,16,128,0.15,0.1,0.1,0.0005,0.001,16,16,0.01,0.8609806823730469,0.281,0.232,0.286,0.34,0.281,0.34,0.271,0.345,0.315,0.433,0.374,0.429,0.32,0.419,0.276,0.414,0.991,1.071,0.903,0.885,1.041,0.999,1.031,0.92,0.849,0.566,0.618,0.665,0.754,0.678,1.088,0.741,0.336,0.326,0.106,0.295,0.217,0.221,0.225,0.348,0.312,0.063,0.107,0.336,0.2,0.288,0.236,0.341
8,4,128,0.5,0,0.5,0.0005,0.0003,8,128,0.002,0.8591857147216797,0.241,0.202,0.335,0.33,0.241,0.281,0.261,0.296,0.296,0.458,0.507,0.379,0.335,0.429,0.266,0.355,1.038,1.126,0.879,0.889,1.056,1.038,1.053,0.983,0.915,0.543,0.586,0.708,0.739,0.712,1.1,0.753,0.19,0.203,0.095,0.143,0.133,0.118,0.058,0.159,-0.08,0.075,-0.007,0.175,0.085,0.001,0.144,0.087
8,4,256,0.15,0.3,0.3,0.0005,0.0005,16,64,0.001,0.8466001129150391,0.227,0.256,0.325,0.33,0.256,0.315,0.276,0.3,0.305,0.438,0.502,0.404,0.325,0.419,0.271,0.379,1.011,1.089,0.888,0.893,1.061,1.021,1.042,0.948,0.891,0.568,0.583,0.699,0.744,0.719,1.107,0.735,0.275,0.296,0.028,0.205,0.135,0.171,0.14,0.279,0.229,-0.074,0.116,0.187,0.09,-0.098,0.178,0.285
4,4,256,0.3,0.3,0.3,0.0003,0.003,16,8,0,0.8415245056152344,0.261,0.281,0.325,0.369,0.266,0.315,0.261,0.31,0.31,0.532,0.517,0.409,0.355,0.424,0.212,0.389,0.998,1.089,0.886,0.868,1.056,1.016,1.032,0.95,0.871,0.53,0.573,0.694,0.727,0.684,1.109,0.741,0.309,0.304,0.15,0.264,0.182,0.204,0.184,0.32,0.274,0.013,0.194,0.228,0.185,0.283,0.221,0.285
16,8,64,0.1,0.2,0.3,0.0005,0.0003,1,64,0.002,0.8723993682861328,0.222,0.266,0.315,0.36,0.266,0.325,0.296,0.296,0.33,0.478,0.512,0.36,0.389,0.389,0.281,0.325,1.027,1.079,0.876,0.894,1.044,0.985,1.017,0.959,0.93,0.581,0.601,0.736,0.719,0.745,1.105,0.747,0.262,0.28,0.159,0.203,0.226,0.267,0.238,0.281,0.04,0.029,0.148,0.155,0.23,-0.117,0.172,0.284
4,4,128,0.5,0,0.1,0.0005,0.0005,8,128,0.01,0.8467416381835937,0.241,0.241,0.34,0.34,0.251,0.305,0.271,0.3,0.31,0.498,0.483,0.409,0.394,0.419,0.271,0.355,1.036,1.116,0.893,0.883,1.054,1.038,1.045,0.991,0.886,0.544,0.596,0.704,0.742,0.713,1.092,0.747,0.214,0.21,0.107,0.198,0.073,0.074,0.082,0.121,0.184,-0.049,0.081,0.142,0.029,-0.107,0.123,0.156
8,4,128,0.15,0,0,0.0005,0.0003,1,16,0,0.8295172882080079,0.276,0.325,0.266,0.345,0.232,0.34,0.281,0.325,0.296,0.414,0.389,0.35,0.414,0.419,0.256,0.36,0.963,1.007,0.919,0.891,1.044,0.964,0.978,0.929,0.92,0.613,0.651,0.744,0.722,0.744,1.084,0.755,0.373,0.404,0.065,0.246,0.258,0.328,0.341,0.338,0.023,0.031,0.076,0.173,0.268,0.01,0.22,0.263
16,4,64,0.2,0,0.3,0.0003,0.0003,16,64,0.002,0.8607886505126953,0.241,0.281,0.34,0.325,0.256,0.281,0.246,0.291,0.32,0.414,0.502,0.379,0.414,0.429,0.202,0.384,1.048,1.061,0.891,0.897,1.041,1.015,1.029,0.952,0.937,0.599,0.615,0.726,0.728,0.723,1.125,0.748,0.248,0.301,0.167,0.235,0.221,0.255,0.251,0.286,0.005,0.002,0.124,0.149,0.209,-0.005,0.189,0.226
8,4,128,0,0.2,0.3,0.001,0.001,4,64,0.001,0.8666918182373047,0.256,0.212,0.3,0.34,0.266,0.305,0.286,0.291,0.3,0.557,0.478,0.404,0.389,0.429,0.266,0.36,1.017,1.114,0.909,0.876,1.074,1.035,1.062,0.958,0.912,0.522,0.602,0.704,0.751,0.706,1.107,0.747,0.268,0.237,0.117,0.205,0.117,0.124,0.115,0.245,-0.068,0.107,0.099,0.13,0.088,0.133,0.115,0.218
